Supermercado,Fecha_extraccion,Categoria,Articulo,Precio
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM MAYONESA REAL 1/2 GL,450.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM MAYONESA REAL 16OZ,165.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM MAYONESA REAL 8 OZ.,95.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM MOSTAZA 12 OZ,90.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM POLLO EN TROZOS EN AGUA 5 OZ,100.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA CHINA RANCHERO 10 0Z,80.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA CHINA RANCHERO 23 0Z,160.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA CHINA RANCHERO 5 0Z,55.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA INGLESA RANCHERO 10 0Z,80.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA INGLESA RANCHERO 23 0Z,165.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA INGLESA RANCHERO 5 0Z,49.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA PICANTE 3 OZ,53.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA PICANTE 6 OZ,70.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SALSA PICANTE RANCHERO 5 OZ,56.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON LIQ. RANCHERO C/PICANTE 15,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON LIQ. VERDURAS RANCHERO 29 O,125.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON LIQUIDO RANCHERO 16 0Z,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON LIQUIDO RANCHERO 29.5 OZ,110.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON RANCH. S/P 12.6 OZ.,90.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON RANCHERO C/AZAFRAN 5.6 OZ,120.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON RANCHERO C/AZAFRAN 9 GR,70.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON RANCHERO C/P 10 OZ,70.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON RANCHERO C/P 14 OZ,90.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON RANCHERO SUPREMO 9 0Z,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON RANCHERO VERDURA 15.5OZ,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON SUPER COMPLETO 10 OZ,75.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON SUPER COMPLETO 12.5 OZ,95.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM SAZON SUPER COMPLETO 18 OZ,125.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM TUNA EN ACEITE 5 OZ,115.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM TUNA EN AGUA 5 OZ,115.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM VINAGRE BLANCO RANCHERO 16 OZ,38.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM VINAGRE RANCHERO AMBAR 16OZ,37.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM VINAGRE RANCHERO AMBAR 52 OZ.,105.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BALDOM VINAGRE RANCHERO BLANCO 52 OZ.,100.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BARRLLA PESTO ROSSO 12/200GR,250.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BATATA LB,28.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BAYGON VERDE 400 ML,245.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC FROSTINGS R Y C CHOCOLATE 16 OZ REF.,340.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC FROSTINGS R Y C VANILLA 16 OZ REF. 10,305.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC SUPER MOIST LEMON CAKE 15.25 OZ,185.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC SUPER MOIST RAINBOW CHIP CAKE 15.25 OZ,175.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC SUPERMOIST CARROT CAKE 15.25 OZ REF.,185.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC SUPERMOIST FRENCH VAINILLA CAKE 15.25,165.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC SUPERMOIST MILK CHOC CAKE 15.25 OZ RE,195.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BC SUPERMOIST RED VELVET CAKE 15.25 OZ,195.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BERENJENA LB,30.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BEST VALUE MAIZ EN GRANO 15OZ.,65.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BIO TORTITAS DE ARROZ INTEGRAL 130 GR,145.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BISONO ARROZ SUPER SELECTO 10 LBS,435.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BLANQUITA HARINA DE TRIGO 2 LB.,85.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BLANQUITA HARINA DE TRIGO 5 LB,205.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BLANQUITA HARINA INTEGRAL 2 LB,125.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BOLSA D/LECHE ANCHOR 300G,205.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BOLSA DE LECHE ANCHOR 1600G,1050.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BROCOLI LB,45.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BRUNSWICK ATUN EN ACEITE DESMENUZADOS 48,70.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BRUNSWICK ATUN EN AGUA DESMENUZADO,70.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BRUNSWICK ATUN EN TROZOS ACEITE 142G,100.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BRUNSWICK ATUN EN TROZOS AGUA 142G.,100.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BUMBLE BEE CHUNK LIGHT EN ACEITE 86 48/5,105.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BUMBLE BEE TUNA ACEITE DESMENUZADO 142G,65.0
IBERIA,03-09-2025 16:53:25,Abarrotes,BUMBLE BEE TUNA EN AGUA TROZOS 5 OZ,105.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE BUSTELO REGULAR LATA 24/10 OZ,790.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE CLASICO SANTO DOMINGO 10 CAP,320.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE GOURMET INDUBAN TOSTADO EN GRANO 1,450.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE INDUBAN GOURMET LATA MOLIDO/283 G (,340.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE INTENSO SANTO DOMINGO 10 CAP,310.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE LUNGO SANTO DOMINGO 10 CAP,320.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE MOLIDO GROUND SANTO DOMINGO 10OZ,310.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE SANTO DOMINGO DESCAF. LATA 10.OZ,445.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE SANTO DOMINGO EN GRANO / 453.6 G 1,395.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE SANTO DOMINGO ESPRESS 1 LB,390.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE SANTO DOMINGO FUNDA (SOBRES) 12/1 O,345.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE SANTO DOMINGO MOLIDO ½ LB.,190.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CAFE SANTO DOMINGO MOLIDO 1LB,350.0
IBERIA,03-09-2025 16:53:25,Abarrotes,CALDO DE POLLO BENEBIEN 120 G,100.0
